sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
48,289,04,688.0,320.32,643.43,1.41
340,227,06,536.21,427.02,476.47,1.49
26,285,04,1656.07,505.78,1237.89,3.64
27,275,04,2023.13,1508.59,1729.5,1.64
93,383,05,1847.18,1160.83,1540.47,1.81
396,52,06,544.9,219.48,511.73,1.4
383,327,04,1974.68,1497.4,1650.06,1.72
392,237,04,2813.47,1417.97,2530.92,1.55
385,191,04,1935.56,584.38,1848.87,1.36
164,388,04,435.28,488.58,247.89,3.2
380,145,04,364.73,276.78,317.05,1.68
362,40,06,1111.41,798.85,928.41,1.79
372,225,04,1736.74,729.75,1610.24,1.46
161,65,04,547.49,518.7,336.29,2.97
65,65,04,1308.0,1187.14,987.7,2.09
16,341,05,610.64,520.29,488.27,1.86
23,271,05,1625.65,775.57,1465.96,1.56
376,281,04,1643.21,1053.68,1437.2,1.62
36,141,05,2022.88,1047.45,1831.8,1.52
388,161,04,2151.45,1125.79,1895.77,1.65
154,192,06,1670.14,697.41,1551.83,1.45
32,181,05,865.64,263.65,829.21,1.33
26,241,05,2039.15,1074.76,1863.15,1.48
400,33,06,1306.0,439.95,1245.36,1.35
279,301,05,966.78,662.76,846.85,1.59
107,141,05,1057.91,626.27,924.25,1.65
272,371,05,1153.03,984.43,935.34,1.8
281,281,05,838.77,741.19,440.95,4.06
282,271,05,796.39,699.17,633.63,1.87
91,237,06,2220.26,852.74,2085.87,1.41
82,327,06,2323.25,1047.03,2133.45,1.49
192,357,06,2296.07,1096.47,2091.25,1.51
86,246,05,1954.25,933.1,1793.11,1.48
77,336,05,2556.03,908.59,2383.6,1.47
94,166,05,357.91,298.98,281.85,1.95
322,385,04,516.94,543.62,322.54,2.99
93,176,05,880.56,232.72,850.02,1.31
336,383,05,2024.16,447.3,1971.3,1.27
349,253,05,122.19,27.73,119.9,1.2
232,51,04,2596.31,916.9,2438.86,1.43
351,399,06,1820.45,506.83,1755.48,1.3
368,229,06,1518.42,640.5,1401.9,1.48
198,392,05,1005.09,606.7,842.82,1.82
230,71,04,256.82,155.23,229.11,1.54
335,255,04,606.61,411.36,550.74,1.43
172,48,05,1268.84,682.07,1169.76,1.45
184,199,05,1198.0,756.64,1031.19,1.68
336,245,04,1590.77,221.07,1576.49,1.14
93,322,05,1320.37,702.62,1144.1,1.72
94,312,05,2905.7,1011.45,2751.02,1.39
186,179,05,248.5,145.65,217.83,1.62
